crew,seat,scenario,epoch_index,event_label,beats_per_min_anchored_z,hr_var_anchored_z,gaze_variance_anchored_z,gaze_vel_avg_anchored_z,pupilD_avg_anchored_z,taskLoad_index_spec_anchored_z,engagement_index_spec_anchored_z,hr_hrv_ratio_anchored_z,taskLoad_sq_anchored_z,beats_per_min_anchored_lag1_z,beats_per_min_anchored_lag2_z,beats_per_min_anchored_grad_z,hr_var_anchored_lag1_z,hr_var_anchored_lag2_z,hr_var_anchored_grad_z,gaze_variance_anchored_lag1_z,gaze_variance_anchored_lag2_z,gaze_variance_anchored_grad_z,gaze_vel_avg_anchored_lag1_z,gaze_vel_avg_anchored_lag2_z,gaze_vel_avg_anchored_grad_z,pupilD_avg_anchored_lag1_z,pupilD_avg_anchored_lag2_z,pupilD_avg_anchored_grad_z,taskLoad_index_spec_anchored_lag1_z,taskLoad_index_spec_anchored_lag2_z,taskLoad_index_spec_anchored_grad_z,engagement_index_spec_anchored_lag1_z,engagement_index_spec_anchored_lag2_z,engagement_index_spec_anchored_grad_z,hr_hrv_ratio_anchored_lag1_z,hr_hrv_ratio_anchored_lag2_z,hr_hrv_ratio_anchored_grad_z,taskLoad_sq_anchored_lag1_z,taskLoad_sq_anchored_lag2_z,taskLoad_sq_anchored_grad_z
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.707075074327447,0.70710120467231,0.69566339563946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7065955953386922,0.0,0.707072979240615,-0.7071067006832014,0.0,0.7071067018288117,-0.6956978324516949,0.0,0.7013471758471028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5527136609506166e-09,0.0,-3.5527136609506166e-09
1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.027087838674639,1.154690311530717,0.9900602826082777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1530772455140197,1.1536783327652753,-1.1062874292452909,-0.5647125523243514,-1.1547003773725628,1.1192633718745584,0.5633628997150887,-1.1319650839605515,0.575540593453908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3684757761507546e-09,4.736951552301509e-09,-2.368475776150754e-09
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.497421932765123,0.773575680598025,1.0060311255453127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2579123713277578,1.4975524104863251,1.4947748117503925,1.4142010222130206,-0.8533873117966208,-0.4099116177456768,1.2094600629857908,0.4846637509302172,0.13281066082769566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568330893632e-09,3.5527136642261315e-09,-1.7763568330893632e-09
1.0,0.0,0.0,1.0,0.0,-1.7888522335715475,-1.7888527998821868,-0.5322526525743204,1.7396876896634852,0.23512323608936958,1.7888538143200499,-1.7888225362254733,1.7882993916047434,1.7888543544724134,0.0,0.0,-1.7888522335715475,0.0,0.0,-1.7888527998821868,1.7859708810874129,-1.4525041183678418,-1.4085920454532925,0.9444618217621173,1.6329786672410271,1.7165656863109766,1.2188364466703208,1.393549864768528,-0.9780645377875254,0.0,0.0,1.7888538143200499,0.0,0.0,-1.7888225362254733,0.0,0.0,1.7882993916047434,1.421085467004497e-09,2.8421709319792324e-09,1.7888543544724134
1.0,0.0,0.0,1.0,0.0,-1.2909931059679118,-1.2909934599121606,-0.0744472959633112,0.2987689102311585,-0.8228236269913793,1.290994093935927,-1.2909745450793602,1.2906475653204952,1.290994431531169,-2.0412387667842675,0.0,0.40824775335685354,-2.0412394746724263,0.0,0.4082478949344852,-0.5082056438807557,2.0380817886556972,0.2696455549748592,1.9870412251900644,1.0936053193762811,-1.4154221066915105,0.3378788376385922,1.403866089667975,-1.0509220930500196,2.0412407427196095,0.0,-0.4082481485439219,-2.041201645169005,0.0,0.40824032903380103,2.0405477348676473,0.0,-0.4081095469735295,2.0412414179100424,2.368475777176526e-09,-0.40824828358200843
1.0,0.0,0.0,1.0,0.0,-1.0690438934353448,-1.069044176590761,-0.4915386171390899,0.18712268470229707,1.8265538360563816,1.0690446838097918,-1.069029044716217,1.0687674583890736,1.0690449538859883,-1.463848498101425,-2.267783615413646,0.37796393590227434,-1.4638489228344786,-2.2677844648792806,0.3779640774798801,-0.010752282068501786,-0.4908608745178309,-0.2975312088231023,0.41070254633172304,2.209003662538704,-0.1938156913819293,-0.8495226926312633,0.4266964915593628,1.922286907120209,1.463849683662952,2.26778598653574,-0.37796433108929,-1.4638262250565333,-2.2677390695496307,0.37795651159160515,1.4634338558450581,2.266954399780669,-0.3778257332967782,1.463850088777236,2.267786796764236,-0.3779644661273726
1.0,0.0,0.0,1.0,0.0,-0.9354134067559267,-0.9354136545169157,-0.23439426821350212,-0.3923150124505482,-0.11809307569373802,0.935414098333568,-0.9354004141266901,0.9351715260904395,0.9354143346502398,-1.207613475599083,-1.62018329472714,0.35355285348637355,-1.2076138059470496,-1.6201837902489844,0.3535529950639552,-0.47134686146681076,0.044063750589495486,0.14908127789637138,0.28710647961778757,0.507893868722172,-0.5573988848004884,2.0028016549453387,-0.8760553373187042,-1.4432938493792127,1.2076143977025662,1.6201846778821507,-0.35355324867334026,-1.207596152102467,-1.6201573095325805,0.3535454291872304,1.207290970801299,1.619699552897526,-0.353414654397009,1.2076147127914594,1.6201851505154743,-0.3535533837114192
1.0,0.0,0.0,2.0,0.0,2.4973023008326023,2.410848113710948,0.1280254776999389,0.7953356036848717,2.5092771212408578,-1.7403944818004504,0.06453850641618906,-0.5855548913275719,-1.263521322133527,-1.0540914791751224,-1.3333319010476288,2.607483919091373,-1.0540917623305315,-1.3333322785881383,2.5800838675724713,-0.20137765831016693,-0.4554000025696352,0.2050942839056585,-0.3268138932112452,0.3736780911954997,0.895573214501859,-0.06458164624608227,2.1654032199883644,2.3598204996792593,1.0540922695495551,1.3333329548801327,-2.3683002680156235,-1.0540766304593434,-1.3333121027771928,1.4789793591342708,1.0538150451506925,1.3329633276174904,-1.8564452272197172,1.0540925396257508,1.333333314981721,-2.191998250086372
1.0,0.0,0.0,2.0,0.0,1.8275111923088685,1.7895248911029282,-0.40399305612574476,-1.36794813060448,1.4118153352289262,-1.434798843371197,0.06159359197529951,-0.5484772616338083,-1.1105371719028891,2.6444809176845303,-1.1618937953711208,-0.2347422990689525,2.5414531246528984,-1.1618941139209442,-0.21604873295961924,0.18052873792418397,-0.17259347458981927,-0.36277623232241024,0.8969722413304364,-0.27230050528102545,-1.6344003459242997,2.6767694906798716,-0.017737345866834037,-0.9543658022913127,-1.7600318582022487,1.1618946845423344,0.11666344347376922,-0.03484719829763502,-1.1618770905714242,0.12362216489007093,-0.5028605017386718,1.1615828087884457,-0.037338776747185935,-1.2279553236074132,1.1618949883780523,0.05607475786689737
1.0,0.0,0.0,2.0,0.0,1.514338679440964,1.4906166419847624,-0.5493757471360198,-0.3675596036550576,0.5454862145784568,-1.2509893942544903,0.05901168249962836,-0.5177692748914818,-1.003517478376264,1.9399345378540167,2.783812678420069,-0.2243221210705454,1.8945565120711103,2.6654638942798194,-0.2065457981971733,-0.382504643013645,0.22815034253897237,-0.10720431815805952,-1.3597481298315677,0.9895438371421115,0.7362089390875634,1.5180806285907487,2.834730716736869,-0.9522391299509453,-1.471942055061951,-1.7835844183785579,0.11171783754350724,-0.03339080709360367,-0.11808763109461956,0.11837144574313463,-0.4758268493899366,-0.43634470555868266,-0.03577734075633048,-1.096185012504044,-1.2031209622270314,0.053726000122203896
1.0,0.0,0.0,2.0,0.0,1.323427202418685,1.3062269370510922,-0.19793918729490906,-0.8659025005787807,1.9505936023137405,-1.1247387899887666,0.056725207641136664,-0.4917729670372959,-0.9231222870781056,1.6081923400274993,2.0464507340966653,-0.21516941695023153,1.5799707213751115,1.9942164749656892,-0.19818766335173077,-0.539671795510344,-0.36391279167113927,0.21699162588863305,-0.32850735487203053,-1.3568994147239886,-0.4107358208571261,0.6188936704729228,1.6178110440706017,1.5638644399731876,-1.2925882956808175,-1.5088155355784283,0.10734504585166492,-0.032100525932168854,-0.11345782390167555,0.11373012739221049,-0.4527816789060757,-0.4158851168465013,-0.03439404214902309,-1.000232759765513,-1.0868310064469804,0.05164578010889115
1.0,0.0,0.0,3.0,0.0,-1.9913686055908666,-2.002938577934954,-0.5093399825970869,-0.9477824872117997,1.8840378723392168,-0.8009920055752847,2.2253389610101215,1.7100535674191588,-0.8018655211457909,1.4054628783644691,1.6972096861024353,-2.886385295678176,1.3851021100750143,1.6648349096211301,-2.863600619308054,-0.17538523543011172,-0.5317953788609682,-0.21326795816754968,-0.8531424855624422,-0.2942414170537862,-0.09495219267444746,2.0495785629968224,0.6863859666793788,0.2037447306069499,-1.1670804176938239,-1.332924905173097,0.4227915239279678,-0.030947473782289684,-0.10932811245675102,2.5037319920455947,-0.43282294234090785,-0.3980796777666815,2.160116004882987,-0.926248656638692,-0.9994734908060027,0.12475465234442544
1.0,0.0,0.0,3.0,0.0,-1.6835802379807416,-1.6910498324989058,-0.37426218086073415,-0.7456233299991534,-0.5720016321143091,-0.7556191791747738,1.8287271184879645,1.4924366451825428,-0.7564041858237016,-2.0566773199589994,1.4833267809255954,0.12425135286445493,-2.0746158797064993,1.4600686033815267,0.12859369317507865,-0.5020103403111361,-0.15488339019859054,0.08139808481712957,-0.9466587948706088,-0.8432603532193573,0.149488847402243,1.9719529832967506,2.1445693054226203,-2.425887439419056,-0.831821424980575,-1.2078967195229522,0.07341472515373883,2.2219641373916654,-0.10561537692630818,-0.12593060073254633,1.7914323790155056,-0.38239632894282793,-0.20005203687629725,-0.8062206180940388,-0.9306779443489567,0.04204699453728795
1.0,0.0,0.0,3.0,0.0,-1.4864152880279105,-1.4918888365397418,-0.2032680745194024,-0.5519156205910241,0.7770891725050617,-0.7173124771746578,1.5905563522115118,1.3421497237834992,-0.7180283058375589,-1.7446513425988435,-2.119956902785266,0.1202789667298222,-1.7562881018341536,-2.143849104214243,0.12447757951947268,-0.3641207310268934,-0.4958894053484499,0.10363862395322826,-0.7427083121282052,-0.9471115588127147,0.15128941901913512,-0.5284319889721062,2.0567377613503615,1.1924143908113292,-0.786378109926547,-0.8615333849953098,0.07109323581402101,1.8491921824801,2.22457194374139,-0.12190261440753122,1.5641941007655138,1.8701716650617288,-0.19348357901004554,-0.7632713228828183,-0.811340267364886,0.040722695397230266
